temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5200, -9091, -1910, 1299, 4944, 1430, -9273, 1215
5104, -9029, -1815, 1387, 4880, 1355, -9181, 1267
5232, -8938, -1814, 1391, 4960, 1397, -9072, 1267
5232, -8764, -1916, 1355, 4880, 1477, -8872, 1225
5232, -8292, -2012, 1225, 4928, 1561, -8328, 1099
5232, -7440, -2056, 1141, 5056, 1649, -7497, 1028
5232, -6522, -2291, 1059, 4928, 1874, -6539, 959
5232, -5636, -2765, 1014, 4896, 2399, -5676, 945
5232, -4872, -3315, 1040, 4928, 2948, -4983, 916
5232, -4584, -3649, 1000, 4928, 3235, -4739, 910
5168, -4599, -3645, 1042, 5008, 3162, -4809, 973
5104, -4794, -3284, 1136, 4928, 2765, -4975, 1065
5200, -5038, -2550, 1215, 5008, 2001, -5257, 1078
5104, -5275, -1678, 1006, 4928, 1110, -5426, 853
5200, -5211, -853, 802, 4944, 248, -5318, 661
5232, -4805, -74, 586, 4928, -417, -4861, 428
5184, -4049, 247, 365, 5024, -707, -4081, 241
5168, -3177, 352, 270, 4928, -776, -3228, 165
5232, -2461, 155, 224, 4848, -523, -2544, 116
5184, -2023, -38, 251, 4928, -317, -2180, 161
5232, -1922, -203, 402, 5008, -156, -2095, 316
5168, -2062, -427, 633, 5008, 35, -2268, 552
5280, -2317, -616, 846, 4992, 197, -2564, 758
5104, -2548, -739, 1054, 4896, 324, -2777, 992
5200, -2749, -818, 1266, 4992, 415, -2969, 1196
5200, -4673, 1756, 773, 4960, -2603, -4645, 719
5168, -5270, 2605, 1105, 4944, -3332, -5378, 1051
5168, -5386, 2753, 1088, 4960, -3251, -5567, 898
5200, -5296, 2670, 713, 5008, -3123, -5450, 505
5200, -4946, 2599, 397, 4992, -3207, -5181, 337
5136, -4392, 2618, 532, 4944, -3254, -4293, 296
5168, -3081, 2264, -55, 4928, -2576, -3092, -210
5200, -2191, 1893, -88, 4896, -2271, -2231, -133
5184, -1480, 1630, 139, 4896, -1996, -1512, 9
5120, -1015, 1359, 94, 4896, -1744, -1148, 2
5184, -746, 1300, 160, 4896, -1725, -903, 72
5168, -742, 1370, 140, 4896, -1775, -934, 26
5184, -1061, 1485, 147, 5056, -1945, -1325, 43
5200, -1522, 1903, 196, 5024, -2399, -1737, 73
5104, -2005, 2591, 126, 5008, -3171, -2281, 7
5168, -2624, 3525, 299, 4960, -4064, -2875, 182
5200, -3294, 4366, 325, 4928, -4950, -3582, 180
5200, -4089, 5305, 358, 4880, -5879, -4369, 236
5200, -4996, 6205, 456, 5008, -6794, -5270, 292
5168, -6052, 6956, 432, 4944, -7473, -6404, 281
5136, -7031, 7879, 431, 4960, -8484, -7293, 304
5168, -6479, 7823, 561, 4880, -8286, -5558, 370
5232, -943, 5470, 508, 4944, -5458, -363, 512
5184, 3087, 3507, 1393, 5072, -3859, 3119, 1335
5136, 3369, 3390, 1016, 4944, -3813, 3063, 743
5168, 1857, 3299, 127, 5008, -3644, 1426, -93
5232, 615, 2884, -103, 5008, -3204, 349, -188
5232, 576, 2583, 200, 4928, -3004, 491, 122
5184, 1091, 2757, 471, 4992, -3232, 1038, 391
5200, 1421, 3280, 696, 4992, -3801, 1305, 599
5184, 1542, 3886, 885, 4944, -4390, 1405, 778
5200, -1472, -2800, 360, 4944, -180, -692, 637
5184, -1051, -781, 630, 4896, -158, -1049, 586
5184, -970, -354, 747, 4944, -205, -1102, 648
5248, -864, -177, 790, 4928, -276, -992, 665
5200, -766, -180, 811, 4960, -247, -933, 698
5168, -758, -180, 833, 4992, -226, -908, 741
5184, -797, -170, 834, 5024, -240, -956, 701
5168, -874, -178, 642, 4928, -237, -1126, 515
5168, -1303, -203, 517, 4944, -231, -1531, 393
5136, -2267, 298, 422, 4944, -1157, -3152, 272
5200, -9651, -746, -630, 4960, 85, -11010, -980
5200, -1219, 15661, -2103, 4928, -1816, -1840, -1159
5200, 2280, -886, 584, 4928, 3096, -1570, -838
5232, 203, 1092, 781, 4880, -395, -103, 397
5184, -49, -51, 134, 4960, -418, -203, -37
5184, 64, -163, 62, 4928, -161, -183, -62
5184, 63, -173, -23, 4896, -249, -109, -150
5168, 125, -222, -189, 4896, -279, -96, -332
5232, 77, -201, -247, 4944, -227, -113, -358
5168, 77, -210, -250, 4928, -231, -138, -369
5232, 71, -206, -128, 4896, -229, -146, -189
5184, 78, -199, 101, 4992, -205, -80, -22
5184, 17, -128, 40, 5008, -251, -118, -26
5232, 51, -133, -2, 4928, -286, -168, -132
5184, 28, -118, -99, 5024, -275, -120, -169
5232, 61, -192, 49, 4848, -213, -109, -48
5168, 47, -139, 157, 5008, -256, -139, 82
5184, 74, -198, 177, 4992, -237, -108, 93
5280, 101, -279, 284, 4960, -137, -87, 137
5200, 55, -144, 86, 4944, -222, -135, -6
5200, 75, -222, 102, 5008, -223, -110, -13
5184, 69, -215, 77, 4928, -198, -96, 0
5232, 70, -212, 102, 5008, -223, -122, -2
5232, 63, -162, 109, 4944, -237, -131, -16
5232, 60, -191, 64, 4880, -258, -129, -66
5232, 69, -199, 45, 5008, -232, -111, -57
5200, 63, -204, 46, 4832, -236, -127, -59
5200, 66, -211, 42, 5024, -219, -113, -65
5136, 64, -209, 67, 4928, -206, -132, -69
5200, 90, -223, 76, 4880, -200, -93, -39
5184, 71, -238, 51, 4928, -183, -96, -54
5200, 62, -229, 85, 5008, -176, -83, -47
5184, 69, -269, 88, 4896, -181, -111, -41
5120, 52, -265, 85, 4896, -159, -80, -13
5120, 90, -273, 100, 4928, -159, -62, -66
5280, 48, -208, 53, 5008, -195, -102, -45
5168, 64, -241, 42, 4896, -213, -67, -49
5200, 65, -231, 50, 4896, -196, -89, -48
5200, 50, -204, 65, 4880, -201, -125, -53
5232, 87, -203, 55, 4944, -182, -113, -43
5168, 72, -193, 42, 5008, -210, -99, -52
5296, 8, 30, 24, 4960, -188, -142, -82
5168, 46, -45, 21, 4928, -398, -198, -77
5200, 72, -275, 60, 4944, -226, -132, -57
5200, 87, -232, 61, 5008, -187, -102, -50
5232, 39, -133, 43, 4944, -223, -109, -41
5200, 41, -174, 49, 4896, -255, -145, -72
5168, 60, -180, 40, 4944, -240, -168, -42
5136, 50, -203, 62, 4928, -215, -140, -59
5184, 69, -179, 31, 4960, -216, -118, -43
5200, 53, -174, 57, 4992, -250, -131, -62
5136, 54, -195, 49, 4944, -239, -115, -62
5232, 60, -163, 23, 4944, -234, -144, -65
5232, 37, -195, 46, 4960, -241, -140, -47
5200, 55, -164, 56, 4880, -248, -136, -48
5104, 64, -181, 51, 5008, -234, -151, -46
5104, 63, -167, 57, 5008, -224, -120, -64
