temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5168, 3898, 175, 487, 4784, -572, 3792, 362
5136, 4405, 88, 180, 5008, -453, 4317, 23
5184, 4947, -243, -92, 4960, -65, 4864, -186
5200, 5611, -594, -247, 4992, 250, 5567, -377
5184, 6484, -820, -424, 4928, 476, 6398, -524
5136, 7125, -964, -479, 4928, 594, 6980, -603
5184, 7254, -958, -531, 4928, 550, 7053, -597
5168, 7099, -776, -490, 4896, 398, 6881, -555
5200, 6891, -535, -338, 4960, 107, 6655, -398
5136, 6564, -380, -210, 4960, -47, 6274, -324
5200, 5953, -323, -265, 4848, -11, 5673, -382
5136, 5491, -582, -287, 4960, 221, 5258, -366
5120, 5201, -494, -182, 4880, 69, 4991, -271
5104, 5068, -322, -104, 4896, -115, 4923, -191
5200, 5544, -129, -8, 4944, -277, 5496, -112
5120, 6193, 5, -83, 4928, -374, 6024, -171
5200, 6406, -40, -155, 5008, -304, 6207, -268
5168, 6505, -270, -196, 5008, -60, 6389, -276
5168, 7058, -283, -41, 4992, -81, 6912, -132
5200, 7257, -252, -108, 4960, -97, 7136, -206
5120, 7823, -491, -5, 4992, 118, 7750, -96
5200, 8913, -285, 55, 4944, -177, 8896, -4
5072, 9918, 206, 196, 4896, -641, 9835, 123
5248, 10413, 271, 245, 4944, -594, 10267, 183
5168, 10567, -69, 513, 5008, -281, 10322, 454
5200, 9978, -67, 742, 5008, -339, 9600, 667
5104, 8686, 199, 841, 4880, -645, 8263, 770
5184, 7621, 924, 928, 5056, -1420, 7309, 810
5072, 6749, 1722, 660, 5008, -2240, 6443, 503
5136, 6138, 2239, 322, 4928, -2652, 5896, 199
5136, 6128, 2301, 111, 5056, -2677, 6025, -5
5184, 6904, 2270, -121, 5024, -2644, 6937, -215
5136, 8696, 2309, -121, 5008, -2694, 8904, -190
5168, 11112, 2253, 233, 5008, -2562, 11294, 282
5200, 13570, 1807, 1129, 4944, -2049, 13764, 1164
5184, 16358, 1051, 2008, 5008, -1273, 16548, 2073
5184, 17987, 775, 2335, 5008, -1028, 17896, 2304
5232, 17996, 680, 2125, 4992, -959, 17649, 1982
5168, 17041, 466, 1892, 4880, -751, 16594, 1771
5184, 15196, 368, 1639, 4832, -687, 14631, 1558
5136, 12908, 78, 1682, 4992, -418, 12443, 1629
5184, 10751, 239, 1663, 4944, -705, 10229, 1544
5200, 8688, 953, 1385, 4928, -1446, 8224, 1232
5200, 7527, 2010, 1172, 4928, -2553, 7321, 1039
5200, 7471, 2841, 958, 4960, -3316, 7312, 825
5200, 7957, 3344, 910, 4896, -3773, 7922, 830
5232, 9064, 3650, 1102, 4944, -3996, 9063, 1047
5184, 10374, 3534, 1350, 4928, -3861, 10423, 1307
5232, 11992, 3430, 1728, 5008, -3737, 11993, 1670
5168, 13190, 2906, 2132, 4992, -3143, 13166, 2142
5168, 14236, 2254, 2704, 4928, -2501, 14181, 2646
5232, 14684, 1897, 2939, 5008, -2246, 14460, 2868
5200, 14096, 1660, 3123, 4928, -1965, 13722, 3056
5168, 12815, 1440, 3120, 5008, -1807, 12353, 2990
5280, 10856, 1212, 2939, 4848, -1567, 10254, 2831
5136, 8328, 1160, 2578, 4960, -1532, 7724, 2391
5184, 5609, 1239, 2061, 4928, -1674, 4995, 1846
5184, 3255, 1348, 1359, 4928, -1782, 2801, 1178
5200, 1686, 1518, 918, 4928, -1962, 1388, 757
5200, 1069, 1733, 609, 5008, -2158, 862, 427
5184, 1142, 1654, 405, 4928, -2054, 1030, 297
5168, 1740, 1466, 439, 4928, -1811, 1696, 362
5184, 2310, 1110, 514, 4944, -1441, 2138, 413
5120, 1998, 546, 496, 4992, -830, 1703, 380
5232, 1138, -183, 378, 4992, -130, 804, 251
5168, 313, -667, 217, 4960, 257, 56, 100
5232, -89, -609, 27, 4880, 128, -259, -94
5168, -398, -242, 11, 4928, -229, -644, -100
5280, -855, 40, -16, 4960, -507, -1092, -132
5200, -1099, 131, -142, 4896, -544, -1314, -284
5232, -1156, 27, -371, 4928, -429, -1330, -479
5200, -1197, -123, -509, 4944, -239, -1348, -637
5120, -1315, -204, -534, 4896, -233, -1533, -622
5200, -1463, -284, -483, 4928, -122, -1670, -580
5184, -1555, -443, -413, 4944, 33, -1761, -493
5248, -1650, -553, -321, 4960, 158, -1826, -398
5232, -1594, -594, -125, 4992, 202, -1764, -203
5200, -1586, -742, 53, 4928, 349, -1760, -42
5184, -1555, -930, -2, 4928, 523, -1752, -138
5232, -1557, -998, -120, 4928, 559, -1721, -247
5184, -1548, -916, -210, 4960, 434, -1737, -326
5168, -1506, -719, -227, 4896, 291, -1668, -318
5168, -1284, -416, -179, 4928, -38, -1435, -272
5168, -1073, -106, -151, 4960, -343, -1216, -285
5200, -1052, 222, -188, 5008, -679, -1228, -334
5200, -1097, 450, -210, 4880, -896, -1310, -304
5136, -1123, 517, -169, 4960, -919, -1276, -299
5136, -1025, 376, -256, 4944, -742, -1222, -398
5120, -936, 98, -323, 5008, -478, -1118, -461
5168, -816, -66, -272, 4896, -327, -959, -360
5184, -678, -164, -174, 5008, -248, -808, -260
5168, -694, -187, -99, 4992, -236, -868, -175
5184, -689, -80, -42, 5008, -349, -903, -161
5200, -793, 12, 41, 4944, -441, -962, -46
5168, -948, 113, 48, 4960, -556, -1187, -73
5280, -1235, 216, 32, 5008, -639, -1486, -126
5120, -1669, 149, -55, 4944, -538, -1942, -188
5168, -1873, -110, -174, 4880, -258, -2042, -283
5184, -1680, -486, -196, 5008, 129, -1858, -312
5168, -1314, -835, -118, 4992, 441, -1444, -233
5184, -1085, -1014, -16, 4928, 598, -1274, -105
5136, -980, -1019, 81, 5024, 572, -1152, 15
5168, -909, -820, 208, 5024, 384, -1049, 105
5168, -900, -603, 254, 4992, 127, -1135, 123
5168, -1297, -294, 163, 5008, -164, -1550, 17
5200, -1736, -82, 23, 4960, -363, -1979, -123
5136, -1932, -77, -111, 4928, -322, -2142, -260
5184, -1907, -248, -136, 4896, -149, -2054, -258
5184, -1820, -377, -140, 4896, -19, -2004, -274
5200, -1880, -516, -218, 4992, 129, -2072, -363
5168, -2024, -657, -280, 4944, 214, -2263, -381
5120, -2237, -567, -217, 4928, 134, -2439, -354
5168, -2528, -422, -299, 4928, -39, -2779, -431
5200, -3011, -207, -451, 4992, -249, -3270, -578
5232, -3554, 67, -548, 5024, -542, -3767, -667
5168, -4025, 225, -669, 5008, -669, -4299, -824
5184, -4597, 336, -873, 4992, -788, -4827, -1036
5200, -4890, 367, -989, 5008, -802, -5063, -1104
5136, -4809, 374, -898, 5008, -798, -4952, -981
5200, -4683, 322, -737, 4928, -744, -4844, -858
5184, -4722, 46, -714, 4960, -423, -4898, -832
5200, -4756, -308, -715, 4896, -71, -4946, -841
5184, -4959, -648, -706, 5024, 237, -5205, -834
5168, -5422, -814, -764, 5056, 414, -5731, -923
5200, -6164, -884, -989, 4944, 428, -6471, -1160
5168, -7047, -824, -1239, 4992, 310, -7318, -1387
5232, -7712, -509, -1501, 5008, 12, -7940, -1652
5232, -8137, -58, -1746, 4880, -455, -8376, -1923
5168, -8553, 345, -1938, 4944, -872, -8755, -2101
5184, -8694, 719, -2057, 4928, -1236, -8821, -2214
5136, -8582, 1016, -2042, 4944, -1532, -8718, -2170
5168, -8431, 1109, -1988, 4992, -1559, -8514, -2098
5200, -8134, 926, -1844, 5008, -1358, -8263, -1956
5200, -8070, 578, -1673, 4944, -959, -8230, -1788
5232, -8328, -22, -1493, 5008, -288, -8621, -1602
5232, -8182, -212, -1296, 4928, -322, -8199, -1411
5184, -7639, -14, -1235, 4960, -459, -7809, -1326
5104, -7319, 381, -975, 4992, -945, -7360, -1104
5184, -6560, 702, -1068, 4928, -1119, -6639, -1224
5184, -6171, 266, -1059, 4960, -578, -6311, -1151
5232, -6029, -605, -1022, 4992, 311, -6168, -1149
5184, -6021, -1476, -1022, 4896, 1167, -6214, -1132
5200, -6151, -2170, -896, 4960, 1909, -6455, -974
5168, -7031, -3024, -697, 4928, 2590, -7305, -789
5136, -7392, -2877, -688, 4928, 2397, -7642, -815
5168, -8320, -2557, -703, 4928, 1992, -8650, -795
5200, -9142, -1547, -668, 4880, 899, -9448, -794
5200, -9984, -529, -863, 4880, -61, -10277, -1010
5168, -10718, 225, -918, 4928, -787, -10928, -1042
5136, -10885, 755, -920, 4960, -1224, -10972, -1081
5280, -10393, 971, -951, 5008, -1453, -10438, -1055
5200, -9535, 836, -791, 4960, -1268, -9582, -886
5200, -8881, 229, -530, 4944, -545, -9013, -621
5168, -8804, -667, -330, 4960, 353, -9017, -429
5168, -9199, -1444, -246, 5008, 1136, -9447, -365
5136, -9781, -2151, -219, 4928, 1769, -10036, -347
5184, -10161, -2513, -275, 4960, 2059, -10303, -415
5184, -9700, -2392, -446, 4944, 1868, -9738, -546
5232, -8535, -2005, -242, 4928, 1478, -8473, -311
